train_id,region,season,train_type,train_age_years,average_speed_kmph,distance_travelled_km,ambient_temperature_c,humidity_percent,rainfall_mm,wheel_wear_percent,track_vibration_level,rail_wear_mm,bearing_temperature_c,axle_temperature_c,brake_pad_wear_percent,brake_pressure_psi,battery_voltage,last_maintenance_days,sensor_health_index,inspection_score,delay_minutes,failure_type,maintenance_required,failure_severity,risk_score
1,Northern Railway,Monsoon,Passenger,25,68.37867463378782,128246,23.6,57.8,50.3,64.4,4.0,8.67,91.9,125.10000000000001,65.5,89.0,22.8,16,94.8,96.3,32.0,None,0,None,58.9
2,Western Railway,Summer,Passenger,4,71.89346744662163,60105,29.5,56.0,7.1,11.5,1.37,6.13,62.1,54.3,29.7,91.8,25.22,271,36.5,52.8,6.7,Bearing Failure,1,Medium,75.3
3,South Central Railway,Summer,Metro,29,71.06613343739943,36621,32.2,43.3,4.5,84.8,6.69,14.2,99.5,69.5,64.1,86.2,21.84,12,100.0,95.8,5.58,Track Defect,1,Low,62.5
4,Eastern Railway,Summer,Freight,19,50.082049230404934,33287,37.8,47.0,5.4,32.0,2.32,9.54,65.1,59.9,49.4,97.5,24.91,67,98.8,89.5,0.7,Bearing Failure,1,Low,50.0
5,Northern Railway,Summer,Freight,31,44.38765545388584,11723,38.4,61.0,1.2,70.7,4.23,11.65,87.0,72.4,57.5,89.0,23.68,235,37.4,44.9,4.2,None,0,None,97.1
6,Western Railway,Winter,Freight,18,53.94758016311897,60176,22.2,33.9,2.4,44.0,4.25,12.22,75.1,67.5,48.6,95.7,24.25,169,61.0,64.1,2.7,None,0,None,74.3
7,South Central Railway,Winter,Passenger,23,83.79393088098678,109726,24.9,57.6,1.4,73.9,5.21,10.46,96.8,77.8,65.2,84.8,24.39,303,32.2,54.2,4.6,None,0,None,96.9
8,South Central Railway,Summer,Passenger,22,90.3524125603634,370887,35.9,71.2,3.9,54.9,3.41,9.38,83.9,60.9,43.1,109.6,25.97,236,49.4,59.5,1.7,Signal Failure,1,Critical,81.5
9,Western Railway,Winter,Freight,18,54.13666271574987,23464,27.2,40.7,2.9,36.9,3.82,6.42,80.8,58.1,35.2,97.1,24.85,104,100.0,80.6,12.4,Brake Failure,1,Low,52.3
10,Northern Railway,Winter,Metro,34,67.01441716629431,64010,25.6,46.6,2.0,70.2,4.44,12.59,84.0,70.7,55.2,95.4,23.14,250,41.8,57.6,3.1,None,0,None,90.2
